IndividualID,FragID,LocationID,TableID,SumpID,TankID,DeathDate,Date_T0,WaterTemp_T0,Survival_T0,CoralWatch_T0,Bleaching_T0,BleachedArea_T0,BW_T0,Comment_T0,Date_T1,WaterTemp_T1,Survival_T1,CoralWatch_T1,Bleaching_T1,BleachedArea_T1,BW_T1,Comment_T1,Date_T2,WaterTemp_T2,Survival_T2,CoralWatch_T2,Bleaching_T2,BleachedArea_T2,BW_T2,Comment_T2,Date_T3,WaterTemp_T3,Survival_T3,CoralWatch_T3,Bleaching_T3,BleachedArea_T3,BW_T3,Comment_T3,Date_T4,WaterTemp_T4,Survival_T4,CoralWatch_T4,Bleaching_T4,BleachedArea_T4,BW_T4,Comment_T4,Date_T5,WaterTemp_T5,Survival_T5,CoralWatch_T5,Bleaching_T5,BleachedArea_T5,BW_T5,Comment_T5,Date_T6,WaterTemp_T6,Survival_T6,CoralWatch_T6,Bleaching_T6,BleachedArea_T6,BW_T6,Comment_T6,Date_T7,WaterTemp_T7,Survival_T7,CoralWatch_T7,Bleaching_T7,BleachedArea_T7,BW_T7,Comment_T7,Date_T8,WaterTemp_T8,Survival_T8,CoralWatch_T8,Bleaching_T8,BleachedArea_T8,BW_T8,Comment_T8,Date_T9,WaterTemp_T9,Survival_T9,CoralWatch_T9,Bleaching_T9,BleachedArea_T9,BW_T9,Comment_T9,Date_T10,WaterTemp_T10,Survival_T10,CoralWatch_T10,Bleaching_T10,BleachedArea_T10,BW_T10,Comment_T10,Date_T11,WaterTemp_T11,Survival_T11,CoralWatch_T11,Bleaching_T11,BleachedArea_T11,BW_T11,Comment_T11,Date_T12,WaterTemp_T12,Survival_T12,CoralWatch_T12,Bleaching_T12,BleachedArea_T12,BW_T12,Comment_T12,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,3/2/2024,30.7,Alive,C5,NoBleaching,0,9.86,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,6.378,NA,17/2/2024,29.3,Alive,D3,NoBleaching,0,4.756,NA,24/2/2024,30.1,Alive,D3,PartialBleaching,0.3,6.321,NA,2/3/2024,28.6,Alive,D2,PartialBleaching,0.9,6.463,NA,9/3/2024,26.5,Alive,D2,FullBleaching,1,6.464,NA,16/3/2024,26.8,PartiallyDead,D2,NoBleaching,1,12.403,NA,23/3/2024,26.1,Alive,D1,FullBleaching,1,6.449,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,7,151.99738,-23.43217,Unknown,Taxon5,Unknown,28.16449738,21.75531197,6.40918541,24.72754298,C78
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,3/2/2024,30.7,Alive,C6,NoBleaching,0,8.354,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,8.483,NA,17/2/2024,29.3,Alive,D3,PartialBleaching,0.7,7.06,NA,24/2/2024,30.1,Alive,D3,PartialBleaching,0.75,8.55,NA,2/3/2024,28.6,Alive,D3,PartialBleaching,0.75,8.601,NA,9/3/2024,26.5,Alive,D3,PartialBleaching,0.9,8.638,NA,16/3/2024,26.8,Alive,D2,PartialBleaching,0.9,8.655,NA,23/3/2024,26.1,Alive,D3,PartialBleaching,0.9,8.629,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,7,151.99738,-23.43217,Unknown,Taxon5,Unknown,28.16449738,21.75531197,6.40918541,24.72754298,C78
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,3/2/2024,30.7,Alive,C5,NoBleaching,0,8.033,NA,10/2/2024,29.7,Alive,D3,PartialBleaching,0.2,7.388,NA,17/2/2024,29.3,Alive,D4,PartialBleaching,0.5,5.915,NA,24/2/2024,30.1,Alive,D3,PartialBleaching,0.6,7.461,NA,3/3/2024,28.6,Alive,D2,PartialBleaching,0.6,7.501,NA,9/3/2024,26.5,Alive,D1,FullBleaching,1,7.52,NA,16/3/2024,26.8,Alive,D1,FullBleaching,1,7.516,NA,23/3/2024,26.1,Alive,D1,FullBleaching,1,7.537,NA,30/3/2024,26.7,PartiallyDead,D1,FullBleaching,1,7.547,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,7,151.99738,-23.43217,Unknown,Taxon5,Unknown,28.16449738,21.75531197,6.40918541,24.72754298,C78
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,3/2/2024,30.7,Alive,C5,NoBleaching,0,7.85,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,6.333,NA,17/2/2024,29.3,Alive,D3,PartialBleaching,0.3,4.805,NA,24/2/2024,30.1,Alive,D4,PartialBleaching,0.4,6.799,NA,3/3/2024,28.6,Alive,D3,PartialBleaching,0.5,6.471,NA,9/3/2024,26.5,Alive,D3,PartialBleaching,0.7,5.475,NA,16/3/2024,26.8,Alive,D2,PartialBleaching,0.7,6.522,NA,23/3/2024,26.1,Alive,D2,PartialBleaching,0.95,6.514,NA,30/3/2024,26.7,Alive,D2,PartialBleaching,0.9,6.541,NA,6/4/2024,27.5,Alive,D2,PartialBleaching,0.85,6.525,NA,13/4/2024,25.8,PartiallyDead,D2,PartialBleaching,0.6,6.537,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,3/2/2024,30.7,Alive,D5,NoBleaching,0,8,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,8.155,NA,17/2/2024,29.3,Alive,D3,NoBleaching,0,6.892,NA,24/2/2024,30.1,Alive,D3,PartialBleaching,0.1,8.266,NA,2/3/2024,28.6,Alive,D3,PartialBleaching,0.3,8.279,NA,9/3/2024,26.5,Alive,D3,PartialBleaching,0.5,8.293,NA,16/3/2024,26.8,Alive,D3,PartialBleaching,0.7,8.317,NA,23/3/2024,26.1,Alive,D3,PartialBleaching,0.7,8.303,NA,30/3/2024,26.7,Alive,D4,PartialBleaching,0.7,8.337,NA,6/4/2024,27.5,PartiallyDead,d3,PartialBleaching,0.75,8.337,TLT,13/4/2024,25.8,PartiallyDead,D4,PartialBleaching,0.6,8.331,PDT,19/4/2024,24.1,Alive,D5,PartialBleaching,0.5,8.33,NA,27/4/2024,25.7,PartiallyDead,D5,PartialBleaching,0.5,8.324,PDT,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName
EXP02,EXP02_T1,H5b,1,T1_1,Tank5,NA,3/2/2024,30.7,Alive,C5,NoBleaching,0,7.164,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,6.684,NA,17/2/2024,29.3,Alive,D3,NoBleaching,0,5.83,NA,24/2/2024,30.1,Alive,D3,NoBleaching,0,6.815,NA,3/3/2024,28.6,Alive,D3,PartialBleaching,0.8,6.779,NA,9/3/2024,26.5,Alive,D3,PartialBleaching,0.8,6.821,NA,16/3/2024,26.8,Alive,D2,PartialBleaching,0.8,6.868,TN tips,23/3/2024,26.1,Alive,D3,PartialBleaching,0.8,6.876,NA,30/3/2024,26.7,Alive,D2,PartialBleaching,0.75,6.913,NA,6/4/2024,27.5,Alive,D3,PartialBleaching,0.75,6.931,NA,13/4/2024,25.8,Alive,D3,PartialBleaching,0.75,6.92,NA,19/4/2024,24.1,Alive,D4,NoBleaching,0,6.905,NA,27/4/2024,25.7,Alive,D4,PartialBleaching,0.5,6.901,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName
EXP03,EXP03_C,H5b,2,C_2,Tank9,20/3/2024,3/2/2024,30.7,Alive,C5,NoBleaching,0,4.709,NA,10/2/2024,29.7,Alive,D3,NoBleaching,0,4.954,NA,18/2/2024,30.3,Alive,D4,PartialBleaching,0.4,5.044,NA,25/2/2024,29.6,Alive,D4,PartialBleaching,0.5,5.041,NA,2/3/2024,28.6,Alive,D4,PartialBleaching,0.6,5.092,NA,9/3/2024,26.5,Alive,D5,PartialBleaching,0.5,5.033,NA,16/3/2024,26.8,PartiallyDead,D4,PartialBleaching,0.5,5.05,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5.6,151.99738,-23.43217,Dead,Taxon4,Dead,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName
EXP03,EXP03_T2,H5b,2,T2_2,Tank11,14/3/2024,3/2/2024,30.7,Alive,D5,NoBleaching,0,5.67,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,5.695,NA,18/2/2024,30.3,Alive,D2,PartialBleaching,0.8,5.841,NA,25/2/2024,29.6,PartiallyDead,D3,PartialBleaching,0.8,5.851,NA,2/3/2024,28.6,PartiallyDead,D2,PartialBleaching,0.9,6.192,Algae,10/3/2024,26.5,Alive,D2,FullBleaching,1,5.871,Algae,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5.6,151.99738,-23.43217,Dead,Taxon4,Dead,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName
EXP03,EXP03_T1,H5b,2,T1_2,Tank12,24/2/2024,3/2/2024,30.7,Alive,C5,PartialBleaching,0.2,8.533,NA,10/2/2024,29.7,Alive,D3,PartialBleaching,0.3,8.202,NA,18/2/2024,30.3,Alive,D2,PartialBleaching,0.85,8.153,NA,24/2/2024,30.1,Dead,NA,NA,NA,NA,NA,2/3/2024,28.6,Dead,NA,NA,NA,NA,NA,10/3/2024,26.5,Dead,NA,NA,NA,NA,NA,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5.6,151.99738,-23.43217,Dead,Taxon4,Dead,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName
EXP04,EXP04_C,H5b,2,C_2,Tank7,NA,3/2/2024,30.7,Alive,C6,NoBleaching,0,9.213,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,8.04,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,8.15,NA,25/2/2024,29.6,Alive,D3,NoBleaching,0,8.103,NA,2/3/2024,28.6,Alive,D1,FullBleaching,1,8.225,NA,9/3/2024,26.5,Alive,C2,FullBleaching,1,8.17,NA,16/3/2024,26.8,Alive,D2,NoBleaching,0,8.185,NA,24/3/2024,26.1,Alive,C1,FullBleaching,1,8.194,NA,30/3/2024,26.7,Alive,C1,FullBleaching,1,8.166,NA,6/4/2024,28.3,Alive,D1,FullBleaching,1,8.202,NA,13/4/2024,25.8,Alive,D1,FullBleaching,1,8.172,NA,19/4/2024,24.1,PartiallyDead,D1,FullBleaching,1,8.204,NA,27/4/2024,25.7,PartiallyDead,D1,FullBleaching,1,8.156,NA,5.3,151.99738,-23.43217,Dead,Taxon5,Dead,28.16449738,21.75531197,6.40918541,24.72754298,C78/noName
