IndividualID,FragID,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T0,3/2/2024,30.7,Alive,C,5,NoBleaching,0,9.86,NA,1.021628308,26.69444463,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T1,10/2/2024,29.7,Alive,D,4,NoBleaching,0,6.378,NA,1.021972254,17.27739233,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T2,17/2/2024,29.3,Alive,D,3,NoBleaching,0,4.756,NA,1.022107816,12.88647052,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T3,24/2/2024,30.1,Alive,D,3,PartialBleaching,0.3,6.321,NA,1.021835536,17.11907111,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T4,2/3/2024,28.6,Alive,D,2,PartialBleaching,0.9,6.463,NA,1.02234225,17.51848779,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T5,9/3/2024,26.5,Alive,D,2,FullBleaching,1,6.464,NA,1.023023824,17.54120251,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T6,16/3/2024,26.8,PartiallyDead,D,2,NoBleaching,1,12.403,NA,1.022928476,33.65235015,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T7,23/3/2024,26.1,Alive,D,1,FullBleaching,1,6.449,NA,1.023149895,17.50419394,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_C,H5b,1,C_1,Tank1,28/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T0,3/2/2024,30.7,Alive,C,6,NoBleaching,0,8.354,NA,1.021628308,22.61717956,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T1,10/2/2024,29.7,Alive,D,4,NoBleaching,0,8.483,NA,1.021972254,22.97963612,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T2,17/2/2024,29.3,Alive,D,3,PartialBleaching,0.7,7.06,NA,1.022107816,19.1292014,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T3,24/2/2024,30.1,Alive,D,3,PartialBleaching,0.75,8.55,NA,1.021835536,23.15583895,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.75,8.601,NA,1.02234225,23.31371089,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.9,8.638,NA,1.023023824,23.44073442,0.9,Dead,0.9,-0.538289602,-5.289355926
