"","X","date","sst","HotSpot","DHW"
"1",1,2023-11-01,23.76,0,0
"2",2,2023-11-02,23.73,0,0
"3",3,2023-11-03,23.92,0,0
"4",4,2023-11-04,23.96,0,0
"5",5,2023-11-05,24.12,0,0
"6",6,2023-11-06,24.06,0,0
"7",7,2023-11-07,24.09,0,0
"8",8,2023-11-08,24.08,0,0
"9",9,2023-11-09,24.14,0,0
"10",10,2023-11-10,24.21,0,0
"11",11,2023-11-11,24.19,0,0
"12",12,2023-11-12,24.13,0,0
"13",13,2023-11-13,24.19,0,0
"14",14,2023-11-14,24.44,0,0
"15",15,2023-11-15,24.49,0,0
"16",16,2023-11-16,24.77,0,0
"17",17,2023-11-17,24.6,0,0
"18",18,2023-11-18,24.64,0,0
"19",19,2023-11-19,24.78,0,0
"20",20,2023-11-20,24.73,0,0
"21",21,2023-11-21,24.76,0,0
"22",22,2023-11-22,24.72,0,0
"23",23,2023-11-23,24.76,0,0
"24",24,2023-11-24,24.68,0,0
"25",25,2023-11-25,24.75,0,0
"26",26,2023-11-26,24.82,0,0
"27",27,2023-11-27,24.84,0,0
"28",28,2023-11-28,25.01,0,0
"29",29,2023-11-29,25.37,0,0
"30",30,2023-11-30,25.49,0,0
"31",31,2023-12-01,25.39,0,0
"32",32,2023-12-02,25.55,0,0
"33",33,2023-12-03,25.79,0,0
"34",34,2023-12-04,26.17,0,0
"35",35,2023-12-05,26.14,0,0
"36",36,2023-12-06,26.1,0,0
"37",37,2023-12-07,25.94,0,0
"38",38,2023-12-08,25.78,0,0
"39",39,2023-12-09,25.81,0,0
"40",40,2023-12-10,25.89,0,0
"41",41,2023-12-11,25.71,0,0
"42",42,2023-12-12,25.75,0,0
"43",43,2023-12-13,25.82,0,0
"44",44,2023-12-14,25.95,0,0
"45",45,2023-12-15,26.05,0,0
"46",46,2023-12-16,26.22,0,0
"47",47,2023-12-17,26.56,0,0
"48",48,2023-12-18,26.5,0,0
"49",49,2023-12-19,26.61,0,0
"50",50,2023-12-20,26.7,0,0
"51",51,2023-12-21,26.94,0,0
"52",52,2023-12-22,27.08,0,0
"53",53,2023-12-23,27.07,0,0
"54",54,2023-12-24,27.04,0,0
"55",55,2023-12-25,27.1,0,0
"56",56,2023-12-26,27.01,0,0
"57",57,2023-12-27,26.99,0,0
"58",58,2023-12-28,27.11,0,0
"59",59,2023-12-29,27.39,0,0
"60",60,2023-12-30,27.5,0,0
"61",61,2023-12-31,27.64,0,0
"62",62,2024-01-01,27.53,0,0
"63",63,2024-01-02,27.65,0,0
"64",64,2024-01-03,27.87,0,0
"65",65,2024-01-04,28.02,0,0
"66",66,2024-01-05,28.01,0,0
"67",67,2024-01-06,27.86,0,0
"68",68,2024-01-07,27.74,0,0
"69",69,2024-01-08,27.7,0,0
"70",70,2024-01-09,27.73,0,0
"71",71,2024-01-10,27.82,0,0
"72",72,2024-01-11,27.87,0,0
"73",73,2024-01-12,27.76,0,0
"74",74,2024-01-13,27.92,0,0
"75",75,2024-01-14,27.98,0,0
"76",76,2024-01-15,28.11,0,0
"77",77,2024-01-16,28.31,1.01,0
"78",78,2024-01-17,28.38,1.08,0
"79",79,2024-01-18,28.4,1.1,0
"80",80,2024-01-19,28.72,1.42,0
"81",81,2024-01-20,28.76,1.46,0
"82",82,2024-01-21,28.83,1.53,0
"83",83,2024-01-22,28.89,1.59,0
"84",84,2024-01-23,28.7,1.4,1.51285714285714
"85",85,2024-01-24,28.76,1.46,1.72142857142857
"86",86,2024-01-25,28.56,1.26,1.90142857142857
"87",87,2024-01-26,28.74,1.44,2.10714285714286
"88",88,2024-01-27,28.8,1.5,2.32142857142857
"89",89,2024-01-28,28.81,1.51,2.53714285714286
"90",90,2024-01-29,29.14,1.84,2.8
"91",91,2024-01-30,29.11,1.81,3.05857142857143
"92",92,2024-01-31,29.1,1.8,3.31571428571428
"93",93,2024-02-01,28.72,1.42,3.51857142857143
"94",94,2024-02-02,28.6,1.3,3.70428571428571
"95",95,2024-02-02,28.7893333333333,1.48933333333333,3.91704761904762
"96",96,2024-02-03,28.66,1.36,4.11133333333333
"97",97,2024-02-03,29.254375,1.954375,4.39052976190476
"98",98,2024-02-04,28.69,1.39,4.58910119047619
"99",99,2024-02-04,29.3377083333333,2.03770833333333,4.88020238095238
"100",100,2024-02-05,28.89,1.59,5.10734523809524
"101",101,2024-02-05,29.6334722222222,2.33347222222222,5.44069841269841
"102",102,2024-02-06,28.97,1.67,5.67926984126984
"103",103,2024-02-06,29.2476388888889,1.94763888888889,5.95750396825397
"104",104,2024-02-07,28.91,1.61,6.18750396825397
"105",105,2024-02-07,29.1742361111111,1.87423611111111,6.45525198412698
"106",106,2024-02-08,28.66,1.36,6.6495376984127
"107",107,2024-02-08,28.9004166666667,1.60041666666666,6.87816865079365
"108",108,2024-02-09,28.65,1.35,7.07102579365079
"109",109,2024-02-09,28.8422222222222,1.54222222222222,7.29134325396825
"110",110,2024-02-10,28.57,1.27,7.47277182539682
"111",111,2024-02-10,28.8236111111111,1.52361111111111,7.69043055555555
"112",112,2024-02-11,28.61,1.31,7.87757341269841
"113",113,2024-02-11,28.7581944444444,1.45819444444444,8.0858869047619
"114",114,2024-02-12,28.62,1.32,8.27445833333333
"115",115,2024-02-12,28.6150980392157,1.31509803921568,8.46232948179271
"116",116,2024-02-13,28.58,1.28,8.64518662464986
"117",117,2024-02-13,28.6007986111111,1.30079861111111,8.83101499766573
"118",118,2024-02-14,28.46,1.16,8.99672928338001
"119",119,2024-02-14,28.5904166666667,1.29041666666667,9.18107452147525
"120",120,2024-02-15,28.6,1.3,9.36678880718954
"121",121,2024-02-15,28.5346180555556,1.23461805555555,9.54316281512604
"122",122,2024-02-16,28.47,1.17,9.7103056722689
"123",123,2024-02-16,28.3522222222222,1.05222222222222,9.86062313258636
"124",124,2024-02-17,28.54,1.24,10.0377659897292
"125",125,2024-02-17,28.4719097222222,1.17190972222222,10.2051816643324
"126",126,2024-02-18,28.47,1.17,10.3723245214753
"127",127,2024-02-18,28.3862847222222,1.08628472222222,10.5275080532213
