individualID,scientificName,fieldID,tagID,EcoLocationID,Longitude,Latitude,Transect,Depth,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,Collector1,Collector2,Date_reassessment,State_reassessment,Taxon_ref
Spis-CBHE-1281,,,,,,,,,,,,,,,,,,Taxon1
Spis-CBHE-1311,,,,,,,,,,,,,,,,,,Taxon4
Spis-CBHE-1335,,,,,,,,,,,,,,,,,,Taxon1
Spis-CBHE-1400,,,,,,,,,,,,,,,,,,Taxon1
Spis-CBHE-1412,,,,,,,,,,,,,,,,,,Taxon1
Spis-CBHE-1423,,,,,,,,,,,,,,,,,,Taxon1
Spis-CBHE-272,,,,,,,,,,,,,,,,,,Taxon4
EXP01,Stylophora pistillata,21,1,H5B,151.99738,-23.43217,TowardsCrest,7,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP02,Stylophora pistillata,19,2,H5B,151.99738,-23.43217,TowardsCrest,5,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,27/4/2024,Healthy,Exp
EXP03,Stylophora pistillata,11,3,H5B,151.99738,-23.43217,TowardsCrest,5.6,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,27/4/2024,Dead,Exp
EXP04,Stylophora pistillata,6,4,H5B,151.99738,-23.43217,TowardsCrest,5.3,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,27/4/2024,Dead,Exp
EXP05,Stylophora pistillata,23,5,H5B,151.99738,-23.43217,TowardsCrest,5,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,27/4/2024,PartiallyDead,Exp
EXP06,Stylophora pistillata,18,6,H5B,151.99738,-23.43217,TowardsCrest,4.8,9:30,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP07,Stylophora pistillata,25,7,H5A,151.99555,-23.4526,TowardsCrest,3.3,11:00,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
EXP08,Stylophora pistillata,7,8,H5A,151.99555,-23.4526,TowardsCrest,2.5,11:00,Zoe Meziere,3,2,2024,Zoe Meziere,Andrew Khalil,,,Exp
