SampleName,A1er,1643_A,A5a,1551_A,1550_A,A1dh,1644_A,1645_A,1649_A,1611_A,1650_A,1584_A,1608_A,1560_A,1521_A,1612_A,1523_A,1563_A,1562_A,1613_A,1525_A,1520_A,1442_A,1564_A,A1,1522_A,1565_A,1559_A,1624_A,1622_A,1580_A,1626_A,1625_A,1657_A,1524_A,1566_A,1614_A,1628_A,1627_A,1561_A,1623_A,1629_A,1581_A,1586_A,1585_A,1658_A,1582_A,1552_A,C8,C8a,C78,1411_C,C1,C42.2,1378_C,C35.3,C35.1,C42e,1413_C,1417_C,1365_C,C8e,1412_C,1437_C,1418_C,C79,1372_C,1556_C,1421_C,C3i,1367_C,1424_C,1368_C,C50t,1420_C,C3,1373_C,1415_C,C42ae,1428_C,1366_C,1369_C,1370_C,1511_C,1371_C,1423_C,1379_C,1422_C,1414_C,1404_C,1430_C,1374_C,1425_C,1429_C,1375_C,1483_C,1427_C,1432_C,1426_C,1433_C,1376_C,1465_C,1402_C,1419_C,1515_C,1434_C,1438_C,1557_C,1377_C,1467_C,1380_C,1458_C,1460_C,1436_C,1480_C,1466_C,1459_C,1435_C,1446_C,1477_C,1431_C,1406_C,1405_C,1454_C,1508_C,1416_C,1526_C,1457_C,1455_C,1527_C,1558_C,1481_C,1451_C,1516_C,1487_C,1448_C,1510_C,1512_C,1407_C,1505_C,1439_C,1456_C,1533_C,1490_C,1517_C,1506_C,1470_C,1403_C,1409_C,1453_C,1594_C,1498_C,1486_C,1493_C,1462_C,1530_C,1491_C,1463_C,1589_C,1501_C,1440_C,1616_C,1461_C,1496_C,1535_C,1469_C,1593_C,1504_C,1531_C,1449_C,1474_C,1538_C,1518_C,1600_C,1540_C,1536_C,1541_C,1630_C,1479_C,1529_C,1542_C,1528_C,1478_C,1544_C,1543_C,1545_C,1509_C,1532_C,1503_C,1597_C,1539_C,1484_C,1573_C,1617_C,1492_C,1534_C,1499_C,1514_C,1471_C,1507_C,1494_C,1473_C,1631_C,1583_C,1500_C,1610_C,1445_C,1475_C,1476_C,1570_C,1609_C,1548_C,1513_C,1464_C,1452_C,1659_C,1502_C,1567_C,1568_C,1546_C,1595_C,1662_C,1553_C,1601_C,1468_C,1549_C,1571_C,1587_C,1599_C,1555_C,1447_C,1569_C,1441_C,1661_C,1634_C,1664_C,1663_C,1554_C,1572_C,1408_C,1592_C,1656_C,1450_C,1574_C,1537_C,1632_C,1519_C,1472_C,1636_C,1665_C,1588_C,1637_C,1596_C,1660_C,1495_C,1591_C,1598_C,C116,1482_C,1615_C,1602_C,1638_C,1497_C,1635_C,1651_C,1654_C,1633_C,1590_C,1410_C,1547_C,1485_C,1655_C,1607_C,1646_C,1640_C,1647_C,1648_C,1641_C,1642_C,1443_F,1444_F,1575_F,1605_F,1606_F,1579_F,F3.1a,1578_F,1576_F,1577_F,1621_F,1620_F,1619_F,G3a,1639_G,1381_G,1382_G,1383_G,1384_G,1385_G,1386_G,1387_G,1652_G,1388_G,1390_G,1396_G,1389_G,1391_G,1653_G,1393_G,1392_G,1394_G,1395_G,1397_G,1401_G,1398_G,G3b,1603_G,1604_G,1399_G,1400_G,1488_G,1489_G,1618_G
Spis-21T2,0.51142651,0.125811884,0.032475343,0.02020688,0,0.008178975,0.008178975,0.004089488,0.006013952,0,0.003367813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047149387,0.045224922,0.068559057,0.054125571,0,0.004330046,0.00625451,0,0,0,0.001443349,0.00890065,0,0,0,0,0.002646139,0,0,0,0,0.005532836,0,0,0,0,0.006495069,0,0,0,0,0.001924465,0,0.002165023,0,0,0,0.001924465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002405581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003127255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003127255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002646139,0,0.001443349,0.00120279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008419533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-21T2-D,0.49868498,0.170952659,0.031706604,0.033459965,0,0.007305669,0.007890123,0.007451783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050116891,0.023378141,0.06648159,0.058883694,0,0.002630041,0.00131502,0,0,0,0,0.006136762,0,0,0,0,0.003068381,0,0,0,0,0.00131502,0.002776154,0,0,0.00131502,0,0,0,0,0,0,0,0,0,0,0,0.002045587,0,0,0,0,0,0,0,0,0,0,0,0.001753361,0,0.003506721,0,0,0,0,0,0.003652835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002630041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001607247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001461134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002483928,0,0,0.001168907,0.00087668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002630041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-22-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558257737,0.150635891,0,0,0.047180756,0.051523154,0.005999801,0,0,0.007071589,0,0,0.013690154,0.007458316,0,0,0,0,0.020651249,0,0,0.007027391,0.009126769,0,0.008861585,0.011292443,0,0.005369988,0,0,0,0,0,0,0.007248379,0,0,0,0.005800913,0,0,0.007624057,0,0,0,0,0.005856159,0,0,0,0,0,0.005933505,0,0.006375479,0,0,0,0,0,0.005955604,0,0.005590975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006253936,0,0,0,0,0,0,0,0,0,0,0.034728131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004486039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-45-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545505061,0.314168758,0,0,0.038656381,0.034979672,0,0,0,0,0,0,0.023829149,0,0,0,0,0,0,0,0,0.008696296,0,0,0.005556739,0.007084842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549191,0,0,0,0.004936236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006306899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004788057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540940437,0.311816083,0,0,0.041137359,0.029144433,0,0,0,0.010695559,0,0,0.022881546,0.007745592,0,0,0,0,0,0,0,0.008687728,0,0,0.004919185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006502282,0,0,0,0.00671851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004324558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004486729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53541495,0.152754669,0,0,0.041176196,0.044418355,0.00501485,0,0,0.017151565,0,0,0.01407268,0.014407004,0,0,0,0,0.019655103,0,0,0.006702017,0.009190005,0,0.007759412,0.010954921,0,0.005792346,0,0,0,0,0.010387349,0,0.006670917,0,0.005877871,0,0.005248099,0,0,0.011988991,0,0,0,0,0.005310299,0,0,0,0,0,0.005115925,0,0.006562068,0,0,0,0,0,0,0,0.006165544,0,0,0,0.004742727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007013015,0,0,0,0,0,0,0,0,0,0,0.030944347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004595002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004913776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-39-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532672271,0.243681819,0,0,0.04110558,0.044818956,0.004420686,0,0,0.008419707,0,0,0.01810441,0.014839903,0,0,0,0,0.020593596,0,0,0.008025246,0.0090182,0,0.008215675,0.007249925,0,0.005318425,0,0,0,0,0,0.008066052,0.005277619,0,0,0,0,0,0,0,0,0.005468049,0,0,0.005658478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004407084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-17T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529936779,0.189999662,0,0,0.040400284,0.025795328,0,0,0,0.00939856,0,0,0.020352277,0.009736637,0,0.046756145,0,0,0.016734846,0,0,0.006862977,0,0,0.005544474,0.005950167,0,0.005476859,0,0,0,0,0,0.006524899,0.006153014,0,0.004969742,0,0.004327394,0,0,0.010446601,0,0,0,0,0.004935934,0,0,0,0,0,0.004327394,0,0.006727746,0,0,0,0.010548024,0,0,0,0.006153014,0,0,0,0.008282903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008418134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005240204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-55-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529047991,0.22350616,0,0,0.033168104,0.045966752,0.005435042,0,0,0.008383673,0,0,0.013165235,0.014727212,0,0,0,0,0.01561977,0,0,0.009005276,0.007857701,0,0.007873639,0.008558997,0,0.004765624,0,0,0,0,0,0.006518863,0.006566679,0,0,0,0,0,0,0.008861829,0,0.005690059,0,0,0.005180026,0,0,0,0,0,0.004733747,0,0,0,0,0,0,0,0,0,0.004462791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007108589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010232543,0,0,0,0,0,0,0.006200092,0,0,0,0,0,0,0,0.007363606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-17T2-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524466601,0.203407881,0,0,0.039201645,0.025788623,0,0,0,0.015533767,0,0,0.022318314,0.014982924,0,0.049456502,0,0,0.016791524,0,0,0.010218134,0.007023246,0,0.006022548,0.005829753,0,0,0,0,0,0,0,0.006995703,0,0,0,0,0.004645441,0,0,0.010640447,0,0,0,0,0.004342477,0,0,0,0,0,0,0,0.007298667,0,0,0,0.009511219,0,0,0,0.0056645,0,0,0,0.005058573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004801513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
