IndividualID,FragID,LocationID,ReefZone,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T0,4/2/2024,30.8,Alive,D,3,PartialBleaching,0.2,7.506,NA,1.021593521,20.32016767,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T1,10/2/2024,29.7,Alive,D,3,PartialBleaching,0.5,7.585,NA,1.021972254,20.54703995,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T2,18/2/2024,30.3,Alive,D,3,PartialBleaching,0.5,7.683,NA,1.021766746,20.80536298,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T3,24/2/2024,30.1,PartiallyDead,C,3,PartialBleaching,0.5,7.63,NA,1.021835536,20.66421651,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T4,2/3/2024,28.6,PartiallyDead,D,2,PartialBleaching,0.6,9.078,NA,1.02234225,24.60665823,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T5,10/3/2024,26.5,PartiallyDead,D,3,NoBleaching,0,7.705,RTN,1.023023824,20.90887459,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T6,16/3/2024,26.8,PartiallyDead,D,3,PartialBleaching,0.7,7.695,NA,1.022928476,20.87840316,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,0.7,Dead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T1,FR1,Windward,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,0.7,Dead,0.7,-0.94284448,-0.579797576
