"","X","IndividualID","FragID","LocationID","TableID","SumpID","TankID","DeathDate","Depth","Longitude","Latitude","Reassessment_survival","Taxon","Reassessment_bleaching","TempMaxMM","TempMinMM","TempRange","TempMean","TimePoint","Date","WaterTemp","Survival","CoralWatchLetter","CoralWatchNumber","Bleaching","BleachedArea","BW","Comment","WaterDensity","SkelletonWeight","time_without_bleaching","time_alive","min_health_score","time_to_recovery","ITS2","SurvivalT12","tempPC1","tempPC2"
"40",547,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T0","4/2/2024",30.8,"Alive","D",4,"NoBleaching",0,9.827,NA,1.021593521,26.60355552,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"41",548,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T1","10/2/2024",29.7,"Alive","D",3,"NoBleaching",0,9.815,NA,1.021972254,26.58789679,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"42",549,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T2","18/2/2024",30.3,"Alive","D",3,"NoBleaching",0,9.98,"Pink",1.021766746,27.02557888,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"43",550,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T3","25/2/2024",29.6,"Alive","C",3,"NoBleaching",0,9.975,"Pink",1.022006253,27.02285781,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"44",551,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T4","2/3/2024",28.6,"Alive","C",3,"NoBleaching",0,10.242,"Pink",1.02234225,27.76177502,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"45",552,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T5","10/3/2024",26.5,"PartiallyDead","D",2,"NoBleaching",0,9.982,"RTN",1.023023824,27.08791513,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"46",553,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T6","16/3/2024",26.8,"PartiallyDead","D",2,"NoBleaching",0,9.989,NA,1.022928476,27.10258209,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"47",554,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T7","23/3/2024",26.1,"Dead",NA,NA,NA,NA,NA,NA,1.023149895,0,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"48",555,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T8","30/3/2024",26.7,"Dead",NA,NA,NA,NA,NA,NA,1.022960334,0,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"49",556,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T9","6/4/2024",27.5,"Dead",NA,NA,NA,NA,NA,NA,1.022703365,0,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"50",557,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T10","13/4/2024",25.8,"Dead",NA,NA,NA,NA,NA,NA,1.023243649,0,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"51",558,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T11","19/4/2024",24.1,"Dead",NA,NA,NA,NA,NA,NA,1.02376184,0,12,7,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"52",559,"EXP15","EXP15_T2","FR2",2,"T2_2","Tank11","18/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T12","27/4/2024",25.7,"Dead",NA,NA,NA,NA,NA,NA,1.023274748,0,12,7,2,NA,"C8",1,-5.29763618971682,-0.422739885871504
"53",560,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T0","4/2/2024",30.8,"Alive","D",3,"NoBleaching",0,6.245,NA,1.021593521,16.90640116,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"54",561,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T1","10/2/2024",29.7,"Alive","C",3,"NoBleaching",0,6.237,NA,1.021972254,16.89543681,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"55",562,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T2","18/2/2024",30.3,"Alive","C",3,"NoBleaching",0,6.39,"Pink",1.021766746,17.30395281,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"56",563,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T3","25/2/2024",29.6,"Alive","C",3,"NoBleaching",0,6.397,NA,1.022006253,17.32984676,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"57",564,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T4","2/3/2024",28.6,"Alive","C",3,"NoBleaching",0,6.418,"Pink",1.02234225,17.39651163,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"58",565,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T5","9/3/2024",26.5,"PartiallyDead","C",2,"NoBleaching",0,6.386,"RTN tips",1.023023824,17.32953577,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"59",566,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T6","16/3/2024",26.8,"Dead",NA,NA,NA,NA,NA,NA,1.022928476,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"60",567,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T7","23/3/2024",26.1,"Dead",NA,NA,NA,NA,NA,NA,1.023149895,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"61",568,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T8","30/3/2024",26.7,"Dead",NA,NA,NA,NA,NA,NA,1.022960334,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"62",569,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T9","6/4/2024",28.3,"Dead",NA,NA,NA,NA,NA,NA,1.022441623,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"63",570,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T10","13/4/2024",25.8,"Dead",NA,NA,NA,NA,NA,NA,1.023243649,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"64",571,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T11","19/4/2024",24.1,"Dead",NA,NA,NA,NA,NA,NA,1.02376184,0,12,6,2,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"65",572,"EXP15","EXP15_C","FR2",2,"C_2","Tank9","15/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T12","27/4/2024",25.7,"Dead",NA,NA,NA,NA,NA,NA,1.023274748,0,12,6,2,NA,"C8",1,-5.29763618971682,-0.422739885871504
"66",573,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T0","4/2/2024",30.8,"Alive","D",5,"NoBleaching",0,10.955,NA,1.021593521,29.65726577,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"67",574,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T1","10/2/2024",29.7,"Alive","C",4,"NoBleaching",0,11.644,NA,1.021972254,31.54248296,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"68",575,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T2","17/2/2024",29.3,"Alive","C",3,"NoBleaching",0,9.986,NA,1.022107816,27.05725286,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"69",576,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T3","24/2/2024",30.1,"Alive","C",3,"NoBleaching",0,11.843,NA,1.021835536,32.0742223,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"70",577,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T4","3/3/2024",28.6,"Alive","C",3,"NoBleaching",0,5.408,"Pink; RTN",1.02234225,14.65882438,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"71",578,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T5","9/3/2024",26.5,"PartiallyDead","C",3,"NoBleaching",0,11.661,"Pink, RTN",1.023023824,31.64417736,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"72",579,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T6","16/3/2024",26.8,"Dead",NA,NA,NA,NA,NA,NA,1.022928476,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"73",580,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T7","23/3/2024",26.1,"Dead",NA,NA,NA,NA,NA,NA,1.023149895,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"74",581,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T8","30/3/2024",26.7,"Dead",NA,NA,NA,NA,NA,NA,1.022960334,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"75",582,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T9","6/4/2024",27.5,"Dead",NA,NA,NA,NA,NA,NA,1.022703365,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"76",583,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T10","13/4/2024",25.8,"Dead",NA,NA,NA,NA,NA,NA,1.023243649,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"77",584,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T11","19/4/2024",24.1,"Dead",NA,NA,NA,NA,NA,NA,1.02376184,0,12,6,3,NA,"C8",NA,-5.29763618971682,-0.422739885871504
"78",585,"EXP15","EXP15_T1","FR2",1,"T1_1","Tank5","16/3/2024",10.5,151.9510635,-23.4708255,"PartiallyDead","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T12","27/4/2024",25.7,"Dead",NA,NA,NA,NA,NA,NA,1.023274748,0,12,6,3,NA,"C8",1,-5.29763618971682,-0.422739885871504
"79",586,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T0","4/2/2024",30.8,"Alive","D",4,"NoBleaching",0,5.654,NA,1.021593521,15.30645191,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"80",587,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T1","10/2/2024",29.7,"Alive","C",2,"NoBleaching",0,5.749,NA,1.021972254,15.57349146,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"81",588,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T2","18/2/2024",30.3,"Alive","D",2,"PartialBleaching",0.4,5.841,NA,1.021766746,15.81727517,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"82",589,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T3","25/2/2024",29.6,"Alive","C",3,"PartialBleaching",0.2,5.858,NA,1.022006253,15.86966426,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"83",590,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T4","2/3/2024",28.6,"Alive","D",3,"NoBleaching",0,5.89,NA,1.02234225,15.96532463,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"84",591,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T5","9/3/2024",26.5,"Alive","C",3,"NoBleaching",0,5.875,NA,1.023023824,15.94284727,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"85",592,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T6","16/3/2024",26.8,"Alive","C",3,"NoBleaching",0,5.873,"Pink",1.022928476,15.93487482,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"86",593,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T7","24/3/2024",26.1,"Alive","C",3,"NoBleaching",0,5.913,NA,1.023149895,16.0493563,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"87",594,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T8","30/3/2024",26.7,"Alive","C",3,"NoBleaching",0,5.915,NA,1.022960334,16.04968739,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"88",595,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T9","6/4/2024",28.3,"Alive","C",3,"NoBleaching",0,6,NA,1.022441623,16.26619317,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"89",596,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T10","13/4/2024",25.8,"Alive","C",3,"NoBleaching",0,5.914,NA,1.023243649,16.05459243,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"90",597,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T11","19/4/2024",24.1,"Alive","C",4,"NoBleaching",0,5.96,NA,1.02376184,16.19352911,2,12,2,2,"C8",NA,-5.28935592643304,-0.538289601960668
"91",598,"EXP16","EXP16_C","FR2",1,"C_1","Tank7",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T12","27/4/2024",25.7,"Alive","C",4,"NoBleaching",0,5.963,NA,1.023274748,16.18845517,2,12,2,2,"C8",0,-5.28935592643304,-0.538289601960668
"92",599,"EXP16","EXP16_T1","FR2",2,"T1_2","Tank12",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T0","4/2/2024",30.8,"Alive","D",4,"NoBleaching",0,8.56,NA,1.021593521,23.17354587,12,12,3,7,"C8",NA,-5.28935592643304,-0.538289601960668
"93",600,"EXP16","EXP16_T1","FR2",2,"T1_2","Tank12",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T1","10/2/2024",29.7,"Alive","D",3,"NoBleaching",0,7.95,NA,1.021972254,21.53579006,12,12,3,7,"C8",NA,-5.28935592643304,-0.538289601960668
"94",601,"EXP16","EXP16_T1","FR2",2,"T1_2","Tank12",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T2","18/2/2024",30.3,"Alive","C",3,"NoBleaching",0,8.17,NA,1.021766746,22.12414624,12,12,3,7,"C8",NA,-5.28935592643304,-0.538289601960668
"95",602,"EXP16","EXP16_T1","FR2",2,"T1_2","Tank12",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T3","24/2/2024",30.1,"Alive","C",3,"NoBleaching",0,8.191,NA,1.021835536,22.18356454,12,12,3,7,"C8",NA,-5.28935592643304,-0.538289601960668
"96",603,"EXP16","EXP16_T1","FR2",2,"T1_2","Tank12",NA,10.5,151.9510635,-23.4708255,"Alive","Taxon1","NoBleaching",28.39861107,21.66318321,6.735427856,24.81371681,"T4","2/3/2024",28.6,"Alive","D",3,"NoBleaching",0,10.012,NA,1.02234225,27.13834129,12,12,3,7,"C8",NA,-5.28935592643304,-0.538289601960668
