IndividualID,FragID,ReefZone,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,time_without_bleaching,time_alive,min_health_score,time_to_recovery,ITS2,SurvivalT12,tempPC1,tempPC2
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T0,4/2/2024,30.8,Alive,D,3,PartialBleaching,0.2,7.506,NA,1.021593521,20.32016767,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T1,10/2/2024,29.7,Alive,D,3,PartialBleaching,0.5,7.585,NA,1.021972254,20.54703995,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T2,18/2/2024,30.3,Alive,D,3,PartialBleaching,0.5,7.683,NA,1.021766746,20.80536298,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T3,24/2/2024,30.1,PartiallyDead,C,3,PartialBleaching,0.5,7.63,NA,1.021835536,20.66421651,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T4,2/3/2024,28.6,PartiallyDead,D,2,PartialBleaching,0.6,9.078,NA,1.02234225,24.60665823,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T5,10/3/2024,26.5,PartiallyDead,D,3,NoBleaching,0,7.705,RTN,1.023023824,20.90887459,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T6,16/3/2024,26.8,PartiallyDead,D,3,PartialBleaching,0.7,7.695,NA,1.022928476,20.87840316,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T7,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,NA,1.023149895,0,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,0,7,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T1,Windward,FR1,2,T1_2,Tank12,20/3/2024,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,0,7,2,1,C8,NA,-5.289355926,-0.538289602
